Cenário;Canal;q;h(q);tau(q);alpha;f(alpha);R2
cenario02_min16_mx4_res30_q5_ord2;P3;-3.5;1.4076725544475392;-5.926853940566387;1.6678476706804695;0.0893870931847438;0.8549155351171317
cenario02_min16_mx4_res30_q5_ord2;P3;-3.0;1.3663840614074072;-5.099152184222222;1.6336041746054502;0.19833966040587114;0.8598367930734264
cenario02_min16_mx4_res30_q5_ord2;P3;-2.5;1.3172999063843749;-4.293249765960937;1.5740927511505247;0.35801788808462476;0.8681831502004076
cenario02_min16_mx4_res30_q5_ord2;P3;-2.0;1.2625297165358484;-3.525059433071697;1.4768083788440491;0.5714426753835986;0.8809051363906644
cenario02_min16_mx4_res30_q5_ord2;P3;-1.5;1.2109609247445918;-2.8164413871168876;1.3503962309845217;0.7908470406401054;0.895719340066653
cenario02_min16_mx4_res30_q5_ord2;P3;-1.0;1.1746632020871752;-2.1746632020871752;1.238278315622373;0.9363848864648023;0.9081401934152776
cenario02_min16_mx4_res30_q5_ord2;P3;-0.5;1.1563261429890292;-1.5781630714945147;1.1835616569965646;0.9863822429962325;0.9190033754827457
cenario02_min16_mx4_res30_q5_ord2;P3;0.5;1.173042754249075;-0.41347862287546255;1.1945156150906042;1.0107364304207647;0.941033278060252
cenario02_min16_mx4_res30_q5_ord2;P3;1.0;1.1912369762877277;0.19123697628772773;1.1936265443515643;1.0023895680638366;0.946670781777173
cenario02_min16_mx4_res30_q5_ord2;P3;1.5;1.1867652809840679;0.7801479214761018;1.1213175492804404;0.9018284024445589;0.943503651740418
cenario02_min16_mx4_res30_q5_ord2;P3;2.0;1.156277262784084;1.312554525568168;1.0150509349328962;0.7175473442976243;0.9346996014670168
cenario02_min16_mx4_res30_q5_ord2;P3;2.5;1.1180795425635992;1.795198856408998;0.9394492542575525;0.5534242792348834;0.9254736417304353
cenario02_min16_mx4_res30_q5_ord2;P3;3.0;1.0840012599419069;2.2520037798257206;0.9011854785346713;0.4515526557782934;0.9176442996772938
cenario02_min16_mx4_res30_q5_ord2;P3;3.5;1.0561098099839055;2.6963843349436694;0.8817513011938267;0.38974521923472416;0.9111677540599682
cenario02_min16_mx4_res30_q5_ord2;P3;4.0;1.0334387702548868;3.1337550810195474;0.8700780565784338;0.346557145294188;0.9057343869149685
cenario02_min16_mx4_res30_q5_ord2;P3;4.5;1.0147694203382451;3.566462391522103;0.8620152080433883;0.312606044673144;0.9011045223829094
cenario02_min16_mx4_res30_q5_ord2;P3;5.0;0.999154057812587;3.9957702890629356;0.8586157950816649;0.29730868634538865;0.8971122034895118
cenario03_min16_mx4_res30_q10_ord1;P3;-10.0;1.3078137982068965;-14.078137982068965;1.4037056603310916;0.04108137875804907;0.907388638458182
cenario03_min16_mx4_res30_q10_ord1;P3;-9.0;1.2971591468597636;-12.674432321737873;1.403422667879771;0.04362831081993512;0.9071554044795449
cenario03_min16_mx4_res30_q10_ord1;P3;-8.0;1.2839115807886778;-11.271292646309423;1.402636806628628;0.050198193280397874;0.9070328138856393
cenario03_min16_mx4_res30_q10_ord1;P3;-7.0;1.2670226726400882;-9.869158708480617;1.4011144562750815;0.06135751455504668;0.9071494597939455
cenario03_min16_mx4_res30_q10_ord1;P3;-6.0;1.2448439556265434;-8.46906373375926;1.3977798972451856;0.08238435028814628;0.9077758309447865
cenario03_min16_mx4_res30_q10_ord1;P3;-5.0;1.2147197827980492;-7.073598913990246;1.3897393520748889;0.12490215361580148;0.9095051806480258
cenario03_min16_mx4_res30_q10_ord1;P3;-4.0;1.1723962574023705;-5.689585029609482;1.3685398028867755;0.21542581806238026;0.9136680948501691
cenario03_min16_mx4_res30_q10_ord1;P3;-3.0;1.1121731027388984;-4.336519308216695;1.3087201458841409;0.4103588705642722;0.9229538030586764
cenario03_min16_mx4_res30_q10_ord1;P3;-2.0;1.0360723689206002;-3.0721447378412003;1.179811120216399;0.7125224974084023;0.9398364499258232
cenario03_min16_mx4_res30_q10_ord1;P3;-1.0;0.9768970677838968;-1.9768970677838968;1.061113857425947;0.9157832103579497;0.958724559752359
cenario03_min16_mx4_res30_q10_ord1;P3;1.0;1.0087953965425713;0.008795396542571332;0.9253059433500069;0.9165105468074356;0.9777712024033387
cenario03_min16_mx4_res30_q10_ord1;P3;2.0;0.9501655977429824;0.9003311954859647;0.784842538833745;0.6693538821815253;0.9602664842216789
cenario03_min16_mx4_res30_q10_ord1;P3;3.0;0.8594934914033538;1.5784804742100613;0.651766119245101;0.3768178835252416;0.9438336280325402
cenario03_min16_mx4_res30_q10_ord1;P3;4.0;0.8009658584940417;2.2038634339761667;0.6164890656679176;0.26209282869550377;0.9314554625544175
cenario03_min16_mx4_res30_q10_ord1;P3;5.0;0.7622917211091793;2.8114586055458965;0.6031717635190088;0.20440021204914727;0.9218479230740332
cenario03_min16_mx4_res30_q10_ord1;P3;6.0;0.735034493502364;3.4102069610141843;0.5964164194768748;0.1682915558470648;0.9142947990197431
cenario03_min16_mx4_res30_q10_ord1;P3;7.0;0.7148987777856637;4.004291444499646;0.592786814067273;0.14521625397126492;0.9082602577242052
cenario03_min16_mx4_res30_q10_ord1;P3;8.0;0.6994725736435913;4.59578058914873;0.5907058841515878;0.12986648406397183;0.9033543013966165
cenario03_min16_mx4_res30_q10_ord1;P3;9.0;0.6873003569780913;5.185703212802822;0.5894036698639211;0.11892981597246877;0.8992995202660404
